Year,Category,Name,Month,Time,Status,Latitude,Longitude,Maximum Wind
1864,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1865,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1865,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1865,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1865,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1865,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1865,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1866,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1866,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1866,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1866,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1866,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1866,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1867,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1867,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1867,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1867,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1867,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1867,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1868,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1869,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1869,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1869,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,TS,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1870,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1870,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1870,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1871,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1871,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1871,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1871,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1871,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1871,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1872,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1872,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1873,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1873,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1874,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1874,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1875,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1875,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1875,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1876,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1876,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1877,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1877,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1878,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1878,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1878,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1878,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1878,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1878,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1879,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1879,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1879,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1879,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1879,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1879,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1880,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1880,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1880,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1880,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1881,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1881,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1882,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
