,ID,Name,Date,Time,Status,Latitude,Longitude,Maximum Wind
80,AL051851,            UNNAMED,1851-09-16,1800, TS,32.5N,73.5W,50
81,AL061851,            UNNAMED,1851-10-16,0, TS,28.7N,78.0W,40
82,AL061851,            UNNAMED,1851-10-16,600, TS,29.1N,77.8W,40
83,AL061851,            UNNAMED,1851-10-16,1200, TS,29.5N,77.5W,50
84,AL061851,            UNNAMED,1851-10-16,1800, TS,30.1N,77.1W,50
85,AL061851,            UNNAMED,1851-10-17,0, TS,30.7N,76.6W,60
86,AL061851,            UNNAMED,1851-10-17,600, TS,31.2N,76.3W,60
87,AL061851,            UNNAMED,1851-10-17,1200, TS,31.6N,75.9W,60
88,AL061851,            UNNAMED,1851-10-17,1800, TS,32.0N,75.5W,60
89,AL061851,            UNNAMED,1851-10-18,0, TS,32.7N,74.9W,60
90,AL061851,            UNNAMED,1851-10-18,600, TS,33.3N,74.3W,60
91,AL061851,            UNNAMED,1851-10-18,1200, TS,34.0N,73.8W,60
92,AL061851,            UNNAMED,1851-10-18,1800, TS,35.3N,73.0W,60
93,AL061851,            UNNAMED,1851-10-19,0, TS,37.0N,72.6W,50
94,AL061851,            UNNAMED,1851-10-19,600, TS,38.5N,72.1W,50
95,AL061851,            UNNAMED,1851-10-19,1200, TS,40.2N,71.8W,50
96,AL061851,            UNNAMED,1851-10-19,1500, TS,41.1N,71.7W,50
97,AL061851,            UNNAMED,1851-10-19,1800, TS,42.0N,71.6W,40
98,AL011852,            UNNAMED,1852-08-19,0, TS,20.5N,67.1W,60
99,AL011852,            UNNAMED,1852-08-19,600, TS,20.7N,68.0W,60
100,AL011852,            UNNAMED,1852-08-19,1200, TS,20.9N,68.8W,60
101,AL011852,            UNNAMED,1852-08-19,1800, TS,21.1N,69.6W,60
102,AL011852,            UNNAMED,1852-08-20,0, HU,21.2N,70.6W,70
103,AL011852,            UNNAMED,1852-08-20,600, HU,21.5N,71.9W,70
104,AL011852,            UNNAMED,1852-08-20,1200, HU,21.7N,73.0W,70
105,AL011852,            UNNAMED,1852-08-20,1800, HU,21.9N,74.0W,70
106,AL011852,            UNNAMED,1852-08-21,0, HU,22.1N,74.9W,80
107,AL011852,            UNNAMED,1852-08-21,600, HU,22.2N,76.1W,80
108,AL011852,            UNNAMED,1852-08-21,1200, HU,22.6N,77.1W,80
109,AL011852,            UNNAMED,1852-08-21,1800, HU,22.9N,78.1W,80
110,AL011852,            UNNAMED,1852-08-22,0, HU,23.2N,79.3W,90
111,AL011852,            UNNAMED,1852-08-22,600, HU,23.5N,80.1W,90
112,AL011852,            UNNAMED,1852-08-22,1200, HU,23.8N,81.1W,90
113,AL011852,            UNNAMED,1852-08-22,1800, HU,24.2N,82.1W,90
114,AL011852,            UNNAMED,1852-08-23,0, HU,24.7N,83.1W,90
115,AL011852,            UNNAMED,1852-08-23,600, HU,25.2N,83.9W,90
116,AL011852,            UNNAMED,1852-08-23,1200, HU,25.7N,84.6W,90
117,AL011852,            UNNAMED,1852-08-23,1800, HU,26.2N,85.3W,90
118,AL011852,            UNNAMED,1852-08-24,0, HU,26.7N,86.0W,100
119,AL011852,            UNNAMED,1852-08-24,600, HU,27.2N,86.6W,100
120,AL011852,            UNNAMED,1852-08-24,1200, HU,27.7N,87.1W,100
121,AL011852,            UNNAMED,1852-08-24,1800, HU,28.2N,87.5W,100
122,AL011852,            UNNAMED,1852-08-25,0, HU,28.6N,87.8W,100
123,AL011852,            UNNAMED,1852-08-25,600, HU,28.8N,88.0W,100
124,AL011852,            UNNAMED,1852-08-25,1200, HU,29.1N,88.2W,100
125,AL011852,            UNNAMED,1852-08-25,1800, HU,29.4N,88.4W,100
126,AL011852,            UNNAMED,1852-08-26,0, HU,29.8N,88.6W,100
127,AL011852,            UNNAMED,1852-08-26,600, HU,30.2N,88.6W,100
128,AL011852,            UNNAMED,1852-08-26,1200, HU,30.6N,88.5W,90
129,AL011852,            UNNAMED,1852-08-26,1800, HU,31.2N,88.1W,70
130,AL011852,            UNNAMED,1852-08-27,0, TS,31.8N,87.4W,50
