ID,Name,Month,Year,Time,Status,Latitude,Longitude,Maximum Wind
AL081940,            UNNAMED,October,1940,1800, HU,14.2N,83.3W,70
AL081944,            UNNAMED,September,1944,1800, HU,21.0N,93.2W,70
AL081948,            UNNAMED,September,1948,2200, HU,33.0N,82.3W,115
AL081954,               EDNA,September,1954,1930, HU,41.9N,76.5W,110
AL081955,               IONE,September,1955,1800, HU,39.3N,76.7W,120
AL081956,              GRETA,November,1956,1800, HU,29.3N,70.7W,85
AL081958,             HELENE,September,1958,1800, HU,40.0N,78.6W,130
AL081959,             GRACIE,September,1959,1800, HU,33.7N,80.9W,115
AL081963,              GINNY,October,1963,1800, HU,40.8N,79.7W,95
AL081969,             DEBBIE,August,1969,1800, HU,53.0N,65.1W,105
AL081973,             BRENDA,August,1973,1800, HU,19.8N,92.1W,80
AL081975,              DORIS,September,1975,1800, HU,42.0N,46.3W,95
AL081988,            GILBERT,September,1988,2200, HU,24.4N,98.2W,160
AL081989,              FELIX,September,1989,1800, HU,38.0N,48.7W,75
AL081990,             GUSTAV,September,1990,1800, HU,42.1N,58.2W,105
AL081993,               GERT,September,1993,2100, HU,21.3N,98.3W,85
AL081996,           HORTENSE,September,1996,1800, HU,45.5N,71.8W,120
AL081999,              FLOYD,September,1999,1900, HU,35.7N,79.1W,135
AL082001,          GABRIELLE,September,2001,1800, HU,36.2N,70.7W,70
AL082002,             GUSTAV,September,2002,1800, HU,47.6N,70.8W,85
AL082003,              ERIKA,August,2003,1200, HU,25.3N,97.6W,65
AL082006,             GORDON,September,2006,1800, HU,38.5N,58.1W,105
AL082008,              HANNA,September,2008,1800, HU,22.3N,72.7W,75
AL082012,             GORDON,August,2012,1800, HU,37.1N,41.5W,95
AL082014,            GONZALO,October,2014,2315, HU,47.8N,68.7W,125
AL091867,            UNNAMED,October,1867,1800, HU,19.0N,69.6W,110
AL091870,            UNNAMED,October,1870,2000, HU,34.5N,84.1W,90
AL091878,            UNNAMED,October,1878,1800, HU,40.8N,51.9W,70
AL091880,            UNNAMED,October,1880,1900, HU,32.5N,85.3W,70
AL091886,            UNNAMED,September,1886,1800, HU,31.4N,69.9W,85
AL091887,            UNNAMED,September,1887,1800, HU,26.1N,97.3W,85
AL091888,            UNNAMED,November,1888,1800, HU,35.3N,75.8W,85
AL091891,            UNNAMED,October,1891,1800, HU,40.9N,66.3W,75
AL091893,            UNNAMED,September,1893,1800, HU,38.7N,80.8W,105
AL091899,            UNNAMED,October,1899,1800, HU,34.5N,79.8W,95
AL091908,            UNNAMED,October,1908,1800, HU,12.8N,83.7W,90
AL091909,            UNNAMED,September,1909,1800, HU,31.4N,91.7W,105
AL091932,            UNNAMED,September,1932,1800, HU,18.2N,72.1W,125
AL091943,            UNNAMED,October,1943,1800, HU,31.0N,68.5W,95
AL091944,            UNNAMED,September,1944,1800, HU,40.2N,55.8W,85
AL091945,            UNNAMED,September,1945,2000, HU,29.6N,81.8W,115
AL091947,            UNNAMED,October,1947,1800, HU,32.3N,82.9W,90
AL091948,            UNNAMED,October,1948,2200, HU,32.5N,85.0W,110
AL091949,            UNNAMED,September,1949,1800, HU,22.0N,96.8W,80
AL091950,               ITEM,October,1950,1800, HU,20.8N,95.9W,90
AL091951,                HOW,October,1951,1800, HU,39.1N,77.3W,85
AL091952,               EASY,October,1952,1800, HU,18.1N,50.5W,90
AL091953,           FLORENCE,September,1953,1800, HU,30.7N,87.6W,100
AL091955,              HILDA,September,1955,2100, HU,22.3N,98.1W,105
AL091958,               ILSA,September,1958,1800, HU,37.4N,61.9W,95
AL091959,             HANNAH,September,1959,1800, HU,37.1N,69.2W,105
AL091961,             HATTIE,October,1961,1800, HU,18.5N,88.1W,140
AL091964,             GLADYS,September,1964,1800, HU,42.8N,72.4W,125
AL091966,               INEZ,September,1966,1800, HU,25.6N,97.8W,130
AL091969,            CAMILLE,August,1969,2200, HU,32.0N,89.9W,150
AL091974,              BECKY,September,1974,1800, HU,43.0N,67.8W,100
AL091976,            CANDICE,August,1976,1800, HU,49.9N,59.3W,80
AL091979,              DAVID,September,1979,1800, HU,32.5N,81.2W,150
AL091980,            GEORGES,September,1980,1800, HU,48.0N,59.0W,70
AL091985,             GLORIA,September,1985,1800, HU,41.9N,76.2W,125
AL091986,               EARL,September,1986,1800, HU,41.0N,55.5W,90
AL091988,             HELENE,September,1988,1800, HU,50.2N,52.0W,125
AL091993,             HARVEY,September,1993,1800, HU,35.6N,55.2W,65
AL091995,           HUMBERTO,August,1995,1800, HU,38.3N,49.4W,95
AL091996,            ISIDORE,September,1996,1800, HU,22.6N,43.2W,100
AL091998,               IVAN,September,1998,1800, HU,40.7N,42.3W,80
AL091999,               GERT,September,1999,1800, HU,40.3N,62.9W,130
